lake,term,edf,ref.df,statistic,p.value,phenology
haukivesi,s(start_year),2.701212423,3.366147976,10.26677196,0.000005,ice_off
nasijarvi,s(start_year),2.811279564,3.498927216,8.920703475,0.000017,ice_off
pielinen,s(start_year),1.132821247,1.253316488,17.19551615,0.000023,ice_off
paijanne,s(start_year),2.580893076,3.212706767,7.957549849,0.000070,ice_off
kallavesi,s(start_year),2.932556224,3.648163149,5.881352242,0.000623,ice_off
baikal,s(start_year),6.736833773,7.851813031,3.747233319,0.001082,ice_off
kallsjon,s(start_year),2.284476452,2.848657129,5.395678133,0.002343,ice_off
yellowstone,s(start_year),1.00027786,1.000555666,0.00807433,0.929992,ice_off
kallavesi,s(start_year),3.187858519,3.96075867,7.14788811,0.000054,ice_on
pielinen,s(start_year),3.242232136,4.0287743,5.727239471,0.000367,ice_on
nasijarvi,s(start_year),2.769057451,3.446870071,5.763767581,0.000804,ice_on
baikal,s(start_year),1.000259789,1.00051953,11.6139469,0.000972,ice_on
paijanne,s(start_year),2.561644145,3.190239658,4.814558404,0.003260,ice_on
haukivesi,s(start_year),2.590805636,3.228193975,2.665012387,0.046702,ice_on
kallsjon,s(start_year),1.13087881,1.249813902,0.713147295,0.362117,ice_on
yellowstone,s(start_year),1.001040816,1.002080875,0.028347983,0.870100,ice_on
nasijarvi,s(start_year),3.087941201,3.838680107,10.30416453,0.000002,ice_duration
kallavesi,s(start_year),3.297053605,4.093780549,8.70613537,0.000005,ice_duration
paijanne,s(start_year),2.735500417,3.405068041,8.03574695,0.000053,ice_duration
pielinen,s(start_year),3.059065028,3.805075178,7.483402923,0.000058,ice_duration
haukivesi,s(start_year),3.000470425,3.731506906,6.103619872,0.000347,ice_duration
baikal,s(start_year),1.001711041,1.003419975,5.857089548,0.017467,ice_duration
kallsjon,s(start_year),1.805802749,2.253754828,2.819464275,0.060230,ice_duration
yellowstone,s(start_year),1.26005442,1.47685831,0.069919044,0.853426,ice_duration
